,VISIT_AREA_NM,VISIT_AREA_TYPE_CD,SIDO,GUNGU,GENDER,AGE_GRP,TRAVEL_COMPANIONS_NUM,TRAVEL_MISSION_PRIORITY,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,DGSTFN
23698,협재해수욕장,1.0,제주,제주시,0,30,2,21,4,1,2,4,3,3,4,2,4.0,4.0
23699,금오름,1.0,제주,제주시,0,30,2,21,4,1,2,4,3,3,4,2,4.0,4.0
23700,신화워터파크,6.0,제주,서귀포시,1,30,1,6,2,2,2,2,4,3,2,4,2.0,1.0
23701,우도,1.0,제주,제주시,1,30,1,6,2,2,2,2,4,3,2,4,2.0,5.0
23702,신화관 제주신화월드 스카이풀,6.0,제주,서귀포시,1,30,1,6,2,2,2,2,4,3,2,4,2.0,5.0
23703,제주승마공원,1.0,제주,제주시,1,30,1,6,2,2,2,2,4,3,2,4,2.0,5.0
23704,수산봉,1.0,제주,제주시,1,30,1,6,2,2,2,2,4,3,2,4,2.0,4.0
23705,마라도,1.0,제주,서귀포시,1,30,1,6,2,2,2,2,4,3,2,4,2.0,5.0
23706,세화해변,1.0,제주,제주시,1,20,1,22,1,2,2,5,4,5,7,2,7.0,4.0
23707,현대프리미엄아울렛 송도점,4.0,인천,연수구,1,40,5,23,4,5,6,1,1,6,1,5,3.0,4.0
23708,제주해변공연장,8.0,제주,제주시,0,40,2,9,1,7,2,6,4,2,2,2,3.0,3.0
23709,칠성로쇼핑거리,4.0,제주,제주시,0,40,2,9,1,7,2,6,4,2,2,2,3.0,5.0
23710,제주동문재래야시장,4.0,제주,제주시,1,20,1,1,3,2,2,3,6,5,5,4,3.0,4.0
23711,아쿠아플라넷 제주,6.0,제주,서귀포시,1,20,1,1,3,2,2,3,6,5,5,4,3.0,5.0
23712,서귀포매일올레시장,4.0,제주,서귀포시,1,20,1,1,3,2,2,3,6,5,5,4,3.0,5.0
23713,수목원길야시장,4.0,제주,제주시,1,20,1,1,3,2,2,3,6,5,5,4,3.0,4.0
23714,곽지해수욕장,1.0,제주,제주시,1,20,1,1,3,2,2,3,6,5,5,4,3.0,3.0
23715,만장굴,1.0,제주,제주시,1,20,1,21,1,2,2,1,5,3,4,5,3.0,4.0
23716,비자림,1.0,제주,제주시,1,20,1,21,1,2,2,1,5,3,4,5,3.0,5.0
23717,월정리해수욕장,1.0,제주,제주시,1,20,1,21,1,2,2,1,5,3,4,5,3.0,5.0
23718,고려궁지,2.0,인천,강화군,0,60,1,3,1,2,6,7,2,6,7,7,2.0,4.0
23719,이호테우해수욕장,1.0,제주,제주시,0,40,0,5,1,1,4,6,4,2,6,2,6.0,5.0
23720,제주배럴서프스쿨,5.0,제주,서귀포시,0,40,0,5,1,1,4,6,4,2,6,2,6.0,5.0
23721,제주배럴서프스쿨,5.0,제주,서귀포시,0,40,0,5,1,1,4,6,4,2,6,2,6.0,5.0
23722,이호테우해수욕장,1.0,제주,제주시,0,40,0,5,1,1,4,6,4,2,6,2,6.0,4.0
23723,장봉항,1.0,인천,옹진군,1,40,2,8,2,3,4,4,4,3,4,6,1.0,3.0
23724,엉클인더키친 2호점,4.0,인천,연수구,1,40,2,8,2,3,4,4,4,3,4,6,1.0,4.0
23725,상효원수목원,1.0,제주,서귀포시,1,20,1,2,5,6,3,4,4,4,4,6,3.0,5.0
23726,제주동문재래시장,4.0,제주,제주시,1,30,0,21,1,7,1,5,1,1,2,6,5.0,3.0
23727,비자림,1.0,제주,제주시,1,30,0,21,1,7,1,5,1,1,2,6,5.0,5.0
23728,여수낭만포차거리,4.0,전남,여수시,1,20,1,2,4,1,1,3,5,7,7,7,3.0,4.0
23729,녹테마레,6.0,전남,여수시,1,20,1,2,4,1,1,3,5,7,7,7,3.0,3.0
23730,이순신광장,4.0,전남,여수시,1,20,1,2,4,1,1,3,5,7,7,7,3.0,5.0
23731,블루요트,5.0,전남,여수시,1,20,1,2,4,1,1,3,5,7,7,7,3.0,3.0
23732,여수해상케이블카,6.0,전남,여수시,1,20,1,2,4,1,1,3,5,7,7,7,3.0,5.0
23733,여수예술랜드,6.0,전남,여수시,1,20,1,2,4,1,1,3,5,7,7,7,3.0,4.0
23734,이순신광장,4.0,전남,여수시,1,20,1,2,4,1,1,3,5,7,7,7,3.0,2.0
23735,카멜리아힐,1.0,제주,서귀포시,0,30,0,2,2,2,3,2,4,5,2,6,2.0,5.0
23736,새별오름,1.0,제주,제주시,0,30,0,2,2,2,3,2,4,5,2,6,2.0,4.0
23737,성이시돌목장,2.0,제주,제주시,0,30,0,2,2,2,3,2,4,5,2,6,2.0,3.0
23738,항파두리 항몽유적지,2.0,제주,제주시,0,30,0,2,2,2,3,2,4,5,2,6,2.0,3.0
23739,우리들컨트리클럽,5.0,제주,서귀포시,1,50,2,5,2,1,1,2,2,2,6,6,6.0,5.0
23740,절물자연휴양림,1.0,제주,제주시,1,40,0,3,4,1,1,1,1,7,7,7,2.0,5.0
23741,진아떡집,4.0,제주,제주시,1,40,0,3,4,1,1,1,1,7,7,7,2.0,5.0
23742,약천사,2.0,제주,서귀포시,1,40,0,3,4,1,1,1,1,7,7,7,2.0,5.0
23743,중문대포주상절리대,1.0,제주,서귀포시,1,40,0,3,4,1,1,1,1,7,7,7,2.0,5.0
23744,제주아이키친,4.0,제주,제주시,1,40,0,3,4,1,1,1,1,7,7,7,2.0,2.0
23745,천제연폭포,1.0,제주,서귀포시,1,40,0,3,4,1,1,1,1,7,7,7,2.0,5.0
23746,마보기,7.0,제주,서귀포시,1,40,0,3,4,1,1,1,1,7,7,7,2.0,3.0
23747,중문대포주상절리대,1.0,제주,서귀포시,1,40,0,3,4,1,1,1,1,7,7,7,2.0,5.0
23748,한라산아래첫마을,7.0,제주,서귀포시,1,40,0,3,4,1,1,1,1,7,7,7,2.0,5.0
23749,서우봉,1.0,제주,제주시,1,40,3,25,1,1,1,1,1,1,7,7,2.0,5.0
23750,애월해안도로,1.0,제주,제주시,1,40,3,25,1,1,1,1,1,1,7,7,2.0,5.0
23751,용천수탐방길,2.0,제주,제주시,1,40,3,25,1,1,1,1,1,1,7,7,2.0,5.0
23752,용천수탐방길,1.0,제주,제주시,1,40,3,25,1,1,1,1,1,1,7,7,2.0,5.0
23753,외돌개,7.0,제주,서귀포시,1,40,1,23,6,2,7,5,5,6,6,1,1.0,5.0
23754,천지연폭포,1.0,제주,서귀포시,1,40,1,23,6,2,7,5,5,6,6,1,1.0,4.0
23755,에코랜드테마파크,6.0,제주,제주시,1,40,1,23,6,2,7,5,5,6,6,1,1.0,4.0
23756,중문대포주상절리대,1.0,제주,서귀포시,0,30,3,1,1,4,2,3,1,2,2,6,3.0,5.0
23757,용머리해안,1.0,제주,서귀포시,0,30,3,1,1,4,2,3,1,2,2,6,3.0,4.0
23758,서귀포매일올레시장,4.0,제주,서귀포시,0,30,3,1,1,4,2,3,1,2,2,6,3.0,5.0
23759,정방폭포,1.0,제주,서귀포시,0,30,3,1,1,4,2,3,1,2,2,6,3.0,4.0
23760,성산일출봉,1.0,제주,서귀포시,0,30,3,1,1,4,2,3,1,2,2,6,3.0,5.0
23761,쇠소깍관광지,1.0,제주,서귀포시,0,30,3,1,1,4,2,3,1,2,2,6,3.0,4.0
23762,서귀포매일올레시장,4.0,제주,서귀포시,1,20,1,23,6,2,2,1,3,5,6,6,9.0,5.0
23763,아르떼뮤지엄 제주,3.0,제주,제주시,1,20,1,23,6,2,2,1,3,5,6,6,9.0,5.0
23764,중문대포주상절리대,1.0,제주,서귀포시,1,20,1,23,6,2,2,1,3,5,6,6,9.0,4.0
23765,이호테우해수욕장,1.0,제주,제주시,1,20,1,23,6,2,2,1,3,5,6,6,9.0,4.0
23766,제주민속촌,2.0,제주,서귀포시,1,30,0,3,4,4,4,4,4,4,4,4,2.0,3.0
23767,제주모슬포 알뜨르비행장 일제고사포진지,2.0,제주,서귀포시,1,30,0,3,4,4,4,4,4,4,4,4,2.0,3.0
23768,알뜨르비행장,2.0,제주,서귀포시,1,30,0,3,4,4,4,4,4,4,4,4,2.0,4.0
23769,제주 셋알오름 일제동굴진지,1.0,제주,서귀포시,1,30,0,3,4,4,4,4,4,4,4,4,2.0,3.0
23770,강화광성보,2.0,인천,강화군,1,20,1,2,2,3,3,4,4,2,6,5,1.0,4.0
23771,동막해수욕장,1.0,인천,강화군,1,20,1,2,2,3,3,4,4,2,6,5,1.0,4.0
23772,한림공원,1.0,제주,제주시,0,40,9,2,4,2,2,1,6,7,6,3,9.0,5.0
23773,브릭캠퍼스 제주,3.0,제주,제주시,0,40,9,2,4,2,2,1,6,7,6,3,9.0,5.0
23774,곽지해수욕장,1.0,제주,제주시,0,40,9,2,4,2,2,1,6,7,6,3,9.0,5.0
23775,국사봉,1.0,인천,중구,0,30,1,28,2,2,2,3,2,2,3,2,3.0,4.0
23776,국사봉,1.0,인천,중구,0,30,1,28,2,2,2,3,2,2,3,2,3.0,5.0
23777,도랫마을,7.0,인천,중구,0,30,1,28,2,2,2,3,2,2,3,2,3.0,4.0
23778,호룡곡산,1.0,인천,중구,0,30,1,28,2,2,2,3,2,2,3,2,3.0,4.0
23779,산방산,1.0,제주,서귀포시,1,30,1,2,3,3,6,5,6,6,6,6,3.0,5.0
23780,사계해변,1.0,제주,서귀포시,0,30,2,26,3,2,6,4,6,6,7,1,2.0,4.0
23781,제주카페거리,4.0,제주,제주시,0,30,2,26,3,2,6,4,6,6,7,1,2.0,3.0
23782,탑동광장,7.0,제주,제주시,0,30,2,26,3,2,6,4,6,6,7,1,2.0,3.0
23783,제주동문재래야시장,4.0,제주,제주시,0,30,2,26,3,2,6,4,6,6,7,1,2.0,4.0
23784,9.81파크,5.0,제주,제주시,1,20,0,27,2,3,2,5,5,3,2,6,7.0,4.0
23785,산양큰엉곶,1.0,제주,제주시,1,20,0,27,2,3,2,5,5,3,2,6,7.0,5.0
23786,성산일출봉,1.0,제주,서귀포시,1,20,0,27,2,3,2,5,5,3,2,6,7.0,5.0
23787,비밀의숲,1.0,제주,제주시,1,20,0,27,2,3,2,5,5,3,2,6,7.0,5.0
23788,섭지코지,1.0,제주,서귀포시,1,20,0,27,2,3,2,5,5,3,2,6,7.0,5.0
23789,이호테우해수욕장,1.0,제주,제주시,1,20,0,27,2,3,2,5,5,3,2,6,7.0,4.0
23790,마라도,1.0,제주,서귀포시,1,20,0,27,2,3,2,5,5,3,2,6,7.0,5.0
23791,협재해수욕장,1.0,제주,제주시,1,20,0,27,2,3,2,5,5,3,2,6,7.0,5.0
23792,중문색달해수욕장,1.0,제주,서귀포시,1,20,0,27,2,3,2,5,5,3,2,6,7.0,5.0
23793,한담해안산책로,7.0,제주,제주시,1,20,0,27,2,3,2,5,5,3,2,6,7.0,5.0
23794,서귀포매일올레시장,4.0,제주,서귀포시,1,20,0,27,2,3,2,5,5,3,2,6,7.0,5.0
23795,금오름,1.0,제주,제주시,1,20,0,27,2,3,2,5,5,3,2,6,7.0,5.0
